ID,Category,Sales,Quantity,Discount,Region,Customer_Satisfaction,Profit,Product_Code,Date,Status,Supplier
24,B,3820.8502028275807,42,0.13252125826767436,West,4,1418.1100302303619,6850,2020-01-24,Shipped,Supplier C
25,D,3321.891461133092,26,0.19791351350140668,East,2,1243.348261377705,3112,2020-01-25,Shipped,Supplier A
26,D,2826.7159791404533,1,0.014023543815809891,West,2,494.9528651984008,6653,2020-01-26,Returned,Supplier C
27,D,4199.983394891691,42,0.31287996967906007,East,4,-28.411121039971363,3242,2020-01-27,Shipped,Supplier C
28,B,4650.500586126707,5,0.11064604452035792,South,4,270.8726061527474,3540,2020-01-28,Pending,Supplier A
29,C,3987.0434621663576,10,0.1577096153053154,East,3,1547.7748681090638,9097,2020-01-29,Pending,Supplier A
30,B,3845.1764458946054,48,0.1323875172559803,North,3,227.013481405839,8187,2020-01-30,Shipped,Supplier C
31,A,1357.200970430707,31,0.45176735929440487,East,2,1667.789247990584,8066,2020-01-31,Delivered,Supplier A
32,C,4721.802663069275,9,0.1508635469374005,South,1,-254.5471555509336,7633,2020-02-01,Returned,Supplier A
33,B,4286.340248791763,31,0.20858648607162056,South,4,225.54015005643157,6275,2020-02-02,Shipped,Supplier A
34,B,3205.366308160452,38,0.35635682667070046,South,5,1201.687722120458,9244,2020-02-03,Returned,Supplier A
35,C,4983.873801137145,36,0.01843027277421494,West,1,711.7740675590885,6708,2020-02-04,Shipped,Supplier C
36,B,2156.581999587012,31,0.19940326024073352,West,5,1147.971688020224,6791,2020-02-05,Returned,Supplier A
37,D,2446.842890795226,5,0.18440068565451778,East,3,53.50071200069908,3516,2020-02-06,Delivered,Supplier B
38,B,3825.275904743999,40,0.15072538462545038,East,5,1265.7508131420916,3349,2020-02-07,Shipped,Supplier A
39,D,3861.4354677646043,36,0.3130870010413619,West,5,0.13037108974867806,1114,2020-02-08,Delivered,Supplier C
40,D,4179.274983850834,19,0.15518197549706592,West,4,-355.6410192779986,8082,2020-02-09,Pending,Supplier A
41,A,1662.5038432653437,43,0.24663730574702797,East,2,-349.40367989203173,6710,2020-02-10,Shipped,Supplier C
42,B,2292.0660164574847,39,0.12285118032287379,South,5,690.3284968481964,2268,2020-02-11,Pending,Supplier C
43,C,1230.6350550342374,13,0.11169653359647258,East,2,1536.1761520979237,6584,2020-02-12,Pending,Supplier B
44,D,3581.0293636605743,41,0.1137391205197229,West,4,1594.9795132747727,7485,2020-02-13,Shipped,Supplier B
45,B,3476.268115655942,15,0.2944992656780978,East,4,485.26000058919567,1391,2020-02-14,Shipped,Supplier C
46,C,2268.793076567985,21,0.28810637439783365,East,2,555.0099396091191,8867,2020-02-15,Pending,Supplier C
47,D,4756.751655051765,19,0.3006347693933333,North,3,1849.868863598877,3480,2020-02-16,Delivered,Supplier C
48,D,2127.0337189338024,29,0.07692106185520264,North,3,580.2836164238172,7702,2020-02-17,Returned,Supplier C
49,B,2144.0711295329384,48,0.12234339878802103,West,4,-60.23529529262697,3156,2020-02-18,Returned,Supplier C
50,D,3316.453838198648,28,0.2808911892319438,South,4,-84.19249928296023,7545,2020-02-19,Pending,Supplier B
51,A,4407.1761031382275,37,0.28609971080713664,East,2,1329.2536791466064,4955,2020-02-20,Shipped,Supplier B
52,A,4317.31523378572,16,0.2180843152126608,East,2,-346.20492916783326,6793,2020-02-21,Delivered,Supplier C
53,D,3520.1845322826343,24,0.20479032089167526,North,1,1891.953317103901,6430,2020-02-22,Returned,Supplier C
54,D,3923.3757287253006,31,0.023245596717589967,East,1,1843.840924020698,8103,2020-02-23,Returned,Supplier C
55,A,3401.3256806435784,30,0.2837182425616103,East,2,217.80124367239023,9682,2020-02-24,Shipped,Supplier C
56,D,1505.0666082360533,40,0.06148820613375716,West,5,1103.182304616568,2133,2020-02-25,Delivered,Supplier C
57,A,3442.083449297617,25,0.40640484410727085,East,3,1199.8720008682217,6959,2020-02-26,Pending,Supplier C
58,C,2827.0555620452487,25,0.3093152311311129,North,4,1292.5101089046611,3825,2020-02-27,Delivered,Supplier A
59,D,2156.7293586860624,10,0.31545986499249623,East,3,1564.1078939680006,5315,2020-02-28,Pending,Supplier B
60,C,1087.5689148584643,16,0.2814310454714148,East,1,1803.202438921352,6607,2020-02-29,Shipped,Supplier B
61,C,1749.2729903960621,37,0.023547210841913524,East,5,1283.1699000017747,9209,2020-03-01,Shipped,Supplier B
62,D,2039.0622471702252,45,0.1460793574533863,West,4,60.379741169093904,4137,2020-03-02,Shipped,Supplier C
63,D,4674.465527168309,35,0.08367295295104343,East,2,661.389991124491,1925,2020-03-03,Delivered,Supplier C
64,A,3526.2593677202162,30,0.1004432675059978,West,1,1029.0597686365481,7939,2020-03-04,Shipped,Supplier B
65,B,1379.9382763177186,48,0.22757696775458697,West,4,-107.81367176432559,4481,2020-03-05,Delivered,Supplier C
66,D,3963.270941959681,38,0.41342029743893743,East,1,-418.54819838608404,3994,2020-03-06,Pending,Supplier A
67,A,4391.124956181169,20,0.1780116418351092,North,5,1650.0939200259954,6817,2020-03-07,Shipped,Supplier C
68,C,2262.941326455779,34,0.05017852444720955,North,3,877.8233097985428,8592,2020-03-08,Pending,Supplier C
69,A,1249.4106457559617,3,0.022387918215853952,West,4,1707.6970789594857,9272,2020-03-09,Pending,Supplier B
70,A,4095.0363827288775,30,0.42180897014918367,West,4,143.50940604124685,6185,2020-03-10,Shipped,Supplier B
71,C,2830.777439565183,19,0.48747400969959154,West,3,1287.6885418662278,4596,2020-03-11,Delivered,Supplier B
72,D,3241.101357706561,11,0.3754704433146305,West,3,1053.597867328667,8588,2020-03-12,Pending,Supplier B
73,C,1767.873492427678,32,0.3523863517418541,South,2,35.07431320861576,4970,2020-03-13,Pending,Supplier C
74,A,1748.9963602174723,42,0.4636588876151151,West,5,-446.7950592718182,8278,2020-03-14,Returned,Supplier C
75,B,3317.9298652395537,2,0.14729241795609138,East,4,-118.5319164316524,8107,2020-03-15,Returned,Supplier A
76,C,4883.295765020115,9,0.005191621864775564,West,5,1193.3039909151864,4761,2020-03-16,Pending,Supplier C
77,D,2715.8495827261568,33,0.29491389701033666,East,5,506.01470251098556,2804,2020-03-17,Shipped,Supplier B
78,B,4267.249920435526,4,0.29619550304604236,East,4,1337.4974315591367,7895,2020-03-18,Delivered,Supplier A
79,D,4241.766841133251,28,0.2517229566854128,West,2,77.74634681284022,4757,2020-03-19,Delivered,Supplier C
80,B,2652.1489181293227,16,0.4318741642587133,West,1,1398.4032572632018,6657,2020-03-20,Shipped,Supplier B
81,A,4774.997281737902,17,0.05036118056905553,West,5,564.3395249060791,3066,2020-03-21,Pending,Supplier A
82,C,1247.3961617603265,15,0.221421526120416,East,3,1102.617853347504,9472,2020-03-22,Delivered,Supplier C
83,C,2481.5566823749105,12,0.3804459953877817,North,3,1959.0972103589907,8648,2020-03-23,Shipped,Supplier C
84,C,2185.9296715736,12,0.489489241444385,North,1,1483.2084168710837,6214,2020-03-24,Returned,Supplier A
85,D,3739.62474476258,23,0.2772655424373276,North,5,746.8654630879832,8439,2020-03-25,Shipped,Supplier C
86,C,1175.622047459429,8,0.18689436272112275,North,3,527.4423662966119,8948,2020-03-26,Pending,Supplier B
87,C,1335.3439590586763,40,0.013608896297426565,South,1,-34.67761447806038,5315,2020-03-27,Shipped,Supplier C
88,D,2400.7893105858693,14,0.20737925505389965,South,3,-412.81887040222216,9786,2020-03-28,Shipped,Supplier A
89,C,4215.078714768411,18,0.026942766055233658,South,5,209.30477098114898,5296,2020-03-29,Returned,Supplier B
90,D,2326.318716272033,45,0.2250653717716961,West,3,377.4877704028164,7590,2020-03-30,Returned,Supplier A
91,B,1317.0628661021406,2,0.11776337814986026,West,5,896.9551416601837,9301,2020-03-31,Delivered,Supplier A
92,D,2913.2460439208726,49,0.2516070141569371,West,1,-367.2690464882465,9239,2020-04-01,Pending,Supplier B
93,D,3361.9928401248767,24,0.4324882935933858,West,4,593.7287642199681,7757,2020-04-02,Pending,Supplier B
94,C,1511.8300646753582,42,0.05133260778957216,South,5,40.28946446338216,1834,2020-04-03,Returned,Supplier A
95,C,3903.815867401153,15,0.44118747412931736,West,2,-280.2427916364426,8342,2020-04-04,Shipped,Supplier B
96,B,2986.159964145174,24,0.23085427800120223,North,4,824.0653529602034,9502,2020-04-05,Delivered,Supplier C
97,D,2266.9666023102036,44,0.013721027622212223,South,2,1022.8581014469487,7294,2020-04-06,Shipped,Supplier B
98,B,1226.3758422941441,17,0.1023847229865959,North,1,283.56388469666695,9544,2020-04-07,Delivered,Supplier B
99,B,1415.3750590293707,2,0.39377518113504784,North,1,1964.4592128307304,3540,2020-04-08,Returned,Supplier B
100,A,4362.305535359232,23,0.48214608250547064,North,4,1295.3619156675747,1427,2020-04-09,Returned,Supplier B
101,C,2290.7615210270205,48,0.4732291041955488,East,2,977.003024684328,3702,2020-04-10,Pending,Supplier C
102,C,3930.781288359367,43,0.28252318195442006,South,4,674.5540714481906,2000,2020-04-11,Returned,Supplier A
103,B,2681.292016162099,14,0.3682883526017124,South,1,1390.7211125180493,1233,2020-04-12,Shipped,Supplier A
104,C,4346.11898590919,30,0.37004727920006036,South,1,1221.5660158732915,9402,2020-04-13,Shipped,Supplier B
105,A,1348.1605049801706,45,0.3091598017256936,South,3,1628.033134016851,3716,2020-04-14,Pending,Supplier A
106,D,2428.2762486700403,2,0.0927054992809202,South,4,364.49834524968594,2610,2020-04-15,Pending,Supplier C
107,A,3589.597028902181,34,0.4776076157852168,East,2,1197.2399954161322,6652,2020-04-16,Shipped,Supplier C
108,B,4584.8879304390575,48,0.3619854755692026,East,3,979.6978365479904,1199,2020-04-17,Pending,Supplier A
109,C,2754.5763456535406,20,0.26876631878792273,West,4,1837.8480017944325,7861,2020-04-18,Delivered,Supplier B
110,C,3837.818947505435,15,0.26086412439849116,East,5,-18.05688909428045,8598,2020-04-19,Returned,Supplier B
111,C,2579.5395246796725,14,0.2694933218171768,East,2,1060.814620411157,2314,2020-04-20,Pending,Supplier A
112,D,2386.3843318224453,47,0.2022467944531754,West,4,870.8389379662699,6859,2020-04-21,Shipped,Supplier C
113,D,4166.1909854491205,34,0.16505014333874346,East,1,1078.4089730992891,8872,2020-04-22,Returned,Supplier B
114,A,2514.7261223090877,38,0.01719840035968928,South,3,1431.8392691724864,4983,2020-04-23,Returned,Supplier C
115,B,4629.495379260541,42,0.07163618425763241,West,2,255.47844690814827,1048,2020-04-24,Shipped,Supplier B
116,C,2242.5581866981047,4,0.3224854439558519,West,2,1765.8049657868678,7300,2020-04-25,Shipped,Supplier A
117,D,2368.9885233547852,18,0.06065879336495389,South,1,789.8195543685767,6433,2020-04-26,Shipped,Supplier B
118,B,4957.434821529844,37,0.09642646939548344,West,2,379.2401320499823,6948,2020-04-27,Delivered,Supplier B
119,A,4898.383548545406,9,0.12549307217994227,East,4,1171.0797841454805,9592,2020-04-28,Returned,Supplier A
120,A,2586.8291555208125,8,0.45164937111212783,West,5,857.9339033821202,6494,2020-04-29,Delivered,Supplier A
121,B,1966.180879493888,26,0.009130924003282859,South,3,-93.55713632098264,3658,2020-04-30,Pending,Supplier A
122,B,2969.432756729074,31,0.3847208490568979,West,2,-397.3692231331037,7234,2020-05-01,Pending,Supplier B
123,C,3003.764946903003,37,0.2710794676256605,North,2,847.206172663289,2570,2020-05-02,Returned,Supplier C
124,D,1653.7542769736172,35,0.17992265666206514,West,3,721.272398574502,3400,2020-05-03,Delivered,Supplier B
125,B,4699.52521503869,47,0.11372251061655397,West,2,821.75573756881,4469,2020-05-04,Pending,Supplier B
126,B,4434.098967818236,26,0.11829678577775721,East,1,1619.4493989703656,1557,2020-05-05,Returned,Supplier A
127,C,1066.532528193203,43,0.42249658906803833,West,4,329.41336232846686,4745,2020-05-06,Delivered,Supplier A
128,A,2319.964357790526,17,0.24974883473632448,West,5,221.65935322148016,1708,2020-05-07,Shipped,Supplier B
129,D,3686.760855650208,31,0.0011289735570148007,East,2,-54.67443907056679,6960,2020-05-08,Returned,Supplier A
130,B,2216.0336919454903,34,0.28911218381998044,East,1,818.6790271806387,8836,2020-05-09,Pending,Supplier B
131,B,2329.061871104308,18,0.1946706170869088,West,3,337.1362088798476,8493,2020-05-10,Shipped,Supplier A
132,C,3092.0058346914175,49,0.1743271639450218,West,2,20.549003626595322,6745,2020-05-11,Pending,Supplier B
133,B,2431.5833364402615,35,0.48617230343600415,North,1,1085.5679381060877,9911,2020-05-12,Delivered,Supplier A
134,D,2155.1753579094566,33,0.3720962231488889,South,5,1615.667604969803,4071,2020-05-13,Shipped,Supplier B
135,A,3513.27096057174,40,0.37188654214683703,West,1,-269.3592097045656,5274,2020-05-14,Pending,Supplier C
136,A,2811.046685773841,47,0.2590028889948566,South,3,1017.8828251452953,2813,2020-05-15,Shipped,Supplier A
137,B,3199.997960961609,48,0.09522022132725788,North,1,-474.1875708655556,2332,2020-05-16,Shipped,Supplier B
138,A,1448.978640118759,20,0.34459345992552387,East,5,475.4171175576248,4652,2020-05-17,Shipped,Supplier C
139,A,1368.6451891863092,11,0.4575316776140985,West,1,998.5182130372946,2574,2020-05-18,Shipped,Supplier B
140,D,1957.3939445633514,11,0.27920912683810684,North,3,1614.9485046082264,9003,2020-05-19,Delivered,Supplier B
141,D,2014.2673837574653,49,0.20593832501099463,South,1,130.84477542718957,6611,2020-05-20,Pending,Supplier C
142,A,3294.878823761526,35,0.02124128092568567,North,5,523.9414499490542,4206,2020-05-21,Shipped,Supplier A
143,B,1695.8019125056749,19,0.2115660352452698,West,3,1957.9681257485418,6127,2020-05-22,Shipped,Supplier B
144,A,4093.518003558724,30,0.0005486164692076745,East,1,620.625142965532,8557,2020-05-23,Shipped,Supplier B
145,A,2238.9336820693516,23,0.19600465855754812,South,3,259.52107986901547,2759,2020-05-24,Pending,Supplier B
146,C,4121.595635630047,32,0.38310991038266384,South,3,-269.2763277738842,8805,2020-05-25,Shipped,Supplier C
147,A,2055.5491077332745,8,0.114501515068608,South,5,1949.6783952623132,2770,2020-05-26,Shipped,Supplier C
148,B,2204.573980896792,17,0.15863000043649184,West,4,1417.0189565948829,1550,2020-05-27,Pending,Supplier A
149,B,4439.982864411231,32,0.17688130361051874,West,1,958.8527195417453,8074,2020-05-28,Returned,Supplier B
150,A,1527.669005781302,38,0.012990196922646247,South,5,-198.2409388826893,9665,2020-05-29,Pending,Supplier B
151,A,3799.2536839445615,23,0.13169012121278845,East,5,908.3154175838031,8378,2020-05-30,Shipped,Supplier B
152,D,4286.234283660848,14,0.3689652621234938,South,3,-357.34429844223746,8371,2020-05-31,Shipped,Supplier A
153,A,1693.0046304270072,29,0.11168140129023962,North,3,1622.6302511861318,2625,2020-06-01,Pending,Supplier A
154,D,4524.9968239022055,42,0.25363387987427977,West,1,1774.6114636262287,7604,2020-06-02,Delivered,Supplier B
155,A,4917.459356551903,44,0.37771956239919663,West,3,-395.5753604576538,3549,2020-06-03,Shipped,Supplier A
156,C,1634.8868435554386,2,0.39925787426831566,South,4,40.16780360924133,8733,2020-06-04,Returned,Supplier B
157,B,2275.8951188953006,30,0.288870081326625,South,4,265.2149025819368,9446,2020-06-05,Delivered,Supplier B
158,A,2537.9524116311004,47,0.34000845164922244,West,3,1359.906502216561,9225,2020-06-06,Shipped,Supplier B
159,C,2746.1637382871286,15,0.011627842506850727,East,5,1058.7496188937134,9068,2020-06-07,Returned,Supplier A
160,B,3846.896887984345,44,0.11698460841973424,East,5,369.90983757002016,9324,2020-06-08,Shipped,Supplier A
161,B,2285.3480821801754,25,0.19876063860618998,East,3,1975.9685305934086,3655,2020-06-09,Delivered,Supplier B
162,C,2502.658813897164,9,0.01248473299013464,South,1,695.2048336895652,2042,2020-06-10,Delivered,Supplier B
163,D,1280.9787265901155,9,0.09252781639321939,East,5,457.5286350200515,5633,2020-06-11,Shipped,Supplier B
164,D,1271.5113304125114,14,0.13352803492464327,West,3,504.2069052910954,2419,2020-06-12,Returned,Supplier B
165,D,1395.4020071126401,30,0.188212740540888,North,4,1762.3209532325654,6408,2020-06-13,Shipped,Supplier A
166,C,1932.8817929245652,29,0.18188278290707294,South,5,1897.4408857774793,2382,2020-06-14,Shipped,Supplier A
167,A,3531.688399316715,34,0.3484810994287659,West,2,982.0730741691443,5348,2020-06-15,Delivered,Supplier C
168,C,3005.0259262164864,18,0.1490731395699758,East,5,-140.62092370855163,6107,2020-06-16,Pending,Supplier C
169,D,2809.963591571909,44,0.22655175589729276,North,4,902.6727411742468,9563,2020-06-17,Returned,Supplier C
170,C,4711.306840137204,40,0.04057149217521522,North,3,860.4493608156056,7134,2020-06-18,Pending,Supplier B
171,B,4103.1374941718495,3,0.14444261017736987,East,3,-296.8202557577763,2764,2020-06-19,Delivered,Supplier A
172,B,2014.1219952618567,44,0.49862964512682484,East,5,1143.64083701408,6827,2020-06-20,Shipped,Supplier C
173,C,1143.4339599351401,36,0.23645258805865565,South,5,1909.8019470767003,4257,2020-06-21,Shipped,Supplier B
174,A,1525.2765806608331,30,0.13045979832183585,West,2,1616.8578240119778,2431,2020-06-22,Returned,Supplier C
175,C,2546.6796144942236,35,0.09940181147727734,East,4,807.0116296138378,7239,2020-06-23,Delivered,Supplier A
176,C,1913.937957822355,6,0.21178268538209905,South,3,-150.71222906592476,8734,2020-06-24,Returned,Supplier A
177,B,1024.3816817280083,28,0.2830367426563237,North,2,-412.12568862289754,2607,2020-06-25,Delivered,Supplier A
178,D,2957.6255763183995,13,0.19956371495281694,South,2,876.4311324302817,4324,2020-06-26,Shipped,Supplier A
179,D,4787.692051154891,31,0.29657734091957105,North,4,1965.333473828573,1926,2020-06-27,Pending,Supplier B
180,A,2283.896285324612,16,0.14822127240159422,North,4,718.1138051864077,9773,2020-06-28,Pending,Supplier A
181,B,1024.9890217606187,5,0.0034804737131499675,North,3,47.84720145377162,3744,2020-06-29,Pending,Supplier A
182,A,3010.3098449248346,19,0.26510827030679246,East,3,466.23467042842196,6974,2020-06-30,Shipped,Supplier B
183,B,4200.452126571144,17,0.10180846395301124,West,5,-393.8149051971808,4806,2020-07-01,Shipped,Supplier A
184,C,3220.524980301855,42,0.27818368449149034,West,3,1931.2509554527496,1368,2020-07-02,Delivered,Supplier B
185,B,3977.2088512946143,45,0.18212925652542927,South,1,500.4937005097098,7603,2020-07-03,Returned,Supplier B
186,D,3148.4572508059573,6,0.1992215226447842,West,3,-242.15956726950884,1241,2020-07-04,Returned,Supplier B
187,C,3523.4430512252034,49,0.016888796214853286,West,3,1505.2537785074214,4145,2020-07-05,Delivered,Supplier C
188,A,2609.379975585662,4,0.3333518176985127,West,1,680.6742231720336,5197,2020-07-06,Pending,Supplier C
189,C,4587.3504143151395,11,0.2430285868787571,West,5,1459.034666883629,7668,2020-07-07,Shipped,Supplier B
190,C,1087.1648119463164,12,0.18417805102974927,East,4,-311.35420360480407,7617,2020-07-08,Returned,Supplier A
191,C,2240.3823827024817,25,0.286288180015656,East,1,1397.833233286346,1294,2020-07-09,Pending,Supplier A
192,B,1170.2701029083503,39,0.43427967238976223,South,1,657.5494673205546,3967,2020-07-10,Shipped,Supplier A
193,B,2397.004063462262,33,0.46615655420915797,West,2,203.06690089970846,3713,2020-07-11,Shipped,Supplier B
194,C,2884.9508606177596,23,0.3632645254553823,West,3,797.0453242262863,8497,2020-07-12,Pending,Supplier B
195,B,4062.1279346994934,11,0.07769519492119942,South,4,284.8291856011231,5884,2020-07-13,Delivered,Supplier A
196,C,1677.5022532603398,21,0.028221916150629522,North,5,-317.64240159950316,7625,2020-07-14,Returned,Supplier A
197,A,4430.40579438432,13,0.3798058096659701,North,4,1283.6784635205534,8323,2020-07-15,Delivered,Supplier B
198,B,2239.7090284507585,7,0.4172077120742113,East,4,1052.5973371091711,6370,2020-07-16,Returned,Supplier A
199,B,1056.863932987896,45,0.20854476363730373,West,3,-314.5341522516072,2799,2020-07-17,Shipped,Supplier A
200,A,4610.160429696132,18,0.3580301849920919,South,1,1925.2540247947377,1280,2020-07-18,Returned,Supplier C
201,D,1561.433548103113,11,0.08352755856391608,South,2,1743.6798860205427,9357,2020-07-19,Delivered,Supplier B
202,A,4810.594077526352,37,0.1941099042138804,North,3,-385.0277734126726,6131,2020-07-20,Delivered,Supplier C
203,B,1866.2487992672663,34,0.47829819642919535,West,5,1377.9208257659488,5048,2020-07-21,Delivered,Supplier C
204,D,3894.5815075360483,21,0.17717929531526655,East,1,-85.72591171393043,9829,2020-07-22,Returned,Supplier B
205,B,1419.0144221875612,23,0.2602491986463203,North,2,395.81020415031435,3604,2020-07-23,Returned,Supplier A
206,C,2760.6405960890493,12,0.04560091773198949,South,4,-31.885430137841126,2368,2020-07-24,Shipped,Supplier B
207,C,1162.827167333638,42,0.31098921082552233,North,3,-176.8383639354277,7077,2020-07-25,Returned,Supplier A
208,C,1769.6563327834633,10,0.2952188702329142,West,3,65.34032526859733,8179,2020-07-26,Returned,Supplier C
209,C,3734.463460431564,39,0.441742229301935,North,5,-141.59702617081507,9907,2020-07-27,Returned,Supplier C
210,D,4879.295644291955,2,0.29032686285550613,East,5,-149.13656340980697,9006,2020-07-28,Pending,Supplier B
211,D,3352.8132603116587,21,0.2298144059984728,North,2,677.2633023227338,1795,2020-07-29,Shipped,Supplier C
212,A,1787.2009699625173,37,0.020984503252512665,South,5,1024.7098952350086,9309,2020-07-30,Returned,Supplier B
213,C,4972.805957631264,40,0.3419222191595844,West,2,1865.4296146939573,8642,2020-07-31,Pending,Supplier C
214,D,3002.7062551719155,9,0.23652987657506142,North,2,1564.8503697695755,9012,2020-08-01,Delivered,Supplier B
215,A,1510.0846947061627,33,0.46025645352849837,South,1,373.0074454643577,1749,2020-08-02,Shipped,Supplier C
216,C,3565.2428539452126,5,0.04196608556315229,North,4,-128.00035157951066,5814,2020-08-03,Shipped,Supplier A
217,B,4909.490961163425,16,0.3358179149851408,West,4,137.75104742874237,3485,2020-08-04,Shipped,Supplier B
218,C,1319.450897071482,42,0.32150014580943626,West,3,372.7980465054088,5345,2020-08-05,Delivered,Supplier C
219,C,3899.1316205618255,48,0.46917700289830266,North,4,1727.3620636577762,3693,2020-08-06,Shipped,Supplier C
220,B,4807.174250598846,12,0.11124966516187962,East,1,1941.3582400096925,1401,2020-08-07,Shipped,Supplier A
221,C,4540.642801596995,46,0.21365378264854618,North,5,1557.24630622321,1854,2020-08-08,Pending,Supplier B
222,A,4419.178939408488,24,0.21087447117414843,West,5,1778.8877604394952,4746,2020-08-09,Pending,Supplier C
223,B,2391.8893835887957,6,0.08044515210587744,North,2,712.6467070285437,2867,2020-08-10,Shipped,Supplier B
224,C,2808.3324283935262,48,0.47795549001045506,North,1,1760.5275400088676,7561,2020-08-11,Pending,Supplier B
225,D,1031.5139207851823,32,0.1414601995434932,East,4,525.7467538269127,5590,2020-08-12,Returned,Supplier A
226,B,2065.655317316244,20,0.18077415626332294,South,5,1267.5453936449599,4852,2020-08-13,Pending,Supplier C
227,A,4800.069771459326,20,0.2565874368446943,East,5,253.265952234427,4503,2020-08-14,Delivered,Supplier A
228,B,4605.037607363273,42,0.3194552434152729,South,1,1112.218969430827,9659,2020-08-15,Returned,Supplier B
229,D,1742.861980125002,24,0.4012529876272986,West,2,158.98967907291137,7929,2020-08-16,Shipped,Supplier B
230,B,1728.2760838150775,49,0.4602014387449426,North,2,-356.7490028912985,1527,2020-08-17,Delivered,Supplier A
231,C,1150.1561296191198,23,0.30763454048312255,West,3,1572.9418370381782,7844,2020-08-18,Shipped,Supplier C
232,D,3207.160105372282,26,0.04607988996512297,North,2,326.64109364557225,8871,2020-08-19,Delivered,Supplier C
233,A,2043.6957607521724,5,0.4231738715324906,West,5,215.1770492656159,1726,2020-08-20,Returned,Supplier B
234,B,1872.2405428118377,44,0.0791351094382971,East,3,1459.997591271819,8392,2020-08-21,Shipped,Supplier B
235,B,1580.5298315516075,45,0.029134737598705274,South,4,-45.023741210661456,7563,2020-08-22,Delivered,Supplier A
236,A,2177.293556063856,45,0.4517687116085832,East,4,222.23785814034989,9011,2020-08-23,Shipped,Supplier C
237,B,3595.0607130754433,39,0.013242683772171748,South,3,947.0313035350723,7585,2020-08-24,Delivered,Supplier C
238,D,1914.2771422434826,33,0.30672682980371146,North,1,1551.6776179376416,5450,2020-08-25,Returned,Supplier B
239,C,1742.4270537902776,2,0.2456385938917639,South,4,-356.9892627785399,7308,2020-08-26,Returned,Supplier A
240,A,4685.794785799057,25,0.33617940506905575,East,1,-158.91049529149973,5104,2020-08-27,Returned,Supplier C
241,D,2819.879621341971,38,0.3563339273439182,East,5,-436.32354004058,4254,2020-08-28,Returned,Supplier B
242,C,3202.937484633924,39,0.2230845516053706,East,1,115.65736714510433,4973,2020-08-29,Shipped,Supplier B
243,B,3463.612326353281,6,0.03510363889426732,South,1,586.6598887193588,5998,2020-08-30,Shipped,Supplier A
244,C,1249.4850510482117,42,0.4389744872343219,East,1,1396.7429809362318,8946,2020-08-31,Delivered,Supplier C
245,B,1878.6865616008379,20,0.4910612224052976,North,4,726.1231041334474,1490,2020-09-01,Shipped,Supplier C
