"claim_id","claim_date","sale_id","repair_status"
"CL-505","2020-03-09","OID-363363","Free Replaced"
"CL-507","2020-03-10","OID-363082","Free Replaced"
"CL-509","2020-10-13","OID-423635","Paid Repaired"
"CL-510","2020-03-11","OID-363202","Free Replaced"
"CL-511","2020-03-11","OID-363243","Free Replaced"
"CL-512","2020-03-11","OID-363396","Free Replaced"
"CL-514","2020-03-12","OID-363076","Free Replaced"
"CL-515","2020-03-12","OID-363127","Free Replaced"
"CL-516","2020-03-12","OID-363251","Free Replaced"
"CL-518","2020-05-19","OID-410968","Warranty Void"
"CL-521","2020-03-13","OID-363022","Free Replaced"
"CL-522","2020-03-13","OID-363084","Free Replaced"
"CL-523","2020-03-13","OID-363235","Free Replaced"
"CL-524","2020-03-13","OID-363344","Free Replaced"
"CL-528","2020-03-14","OID-363291","Free Replaced"
"CL-529","2020-03-14","OID-363386","Free Replaced"
"CL-530","2020-11-13","OID-398148","Paid Repaired"
"CL-540","2020-03-16","OID-363195","Free Replaced"
"CL-546","2020-03-17","OID-363201","Free Replaced"
"CL-547","2020-03-17","OID-363272","Free Replaced"
"CL-548","2020-03-17","OID-363353","Free Replaced"
"CL-552","2020-03-18","OID-363324","Free Replaced"
"CL-553","2020-03-18","OID-363375","Free Replaced"
"CL-554","2020-07-24","OID-398153","Warranty Void"
"CL-556","2020-03-19","OID-363301","Free Replaced"
"CL-560","2020-03-20","OID-363083","Free Replaced"
"CL-561","2020-03-20","OID-363156","Free Replaced"
"CL-562","2020-03-20","OID-363259","Free Replaced"
"CL-563","2020-03-20","OID-363292","Free Replaced"
"CL-567","2020-03-21","OID-363317","Free Replaced"
"CL-569","2020-03-22","OID-362976","Free Replaced"
"CL-570","2020-03-22","OID-363073","Free Replaced"
"CL-571","2020-03-22","OID-363123","Free Replaced"
"CL-577","2020-03-23","OID-363027","Free Replaced"
"CL-578","2020-03-23","OID-363036","Free Replaced"
"CL-579","2020-03-23","OID-363393","Free Replaced"
"CL-581","2020-08-02","OID-436406","Warranty Void"
"CL-589","2020-03-25","OID-363040","Free Replaced"
"CL-590","2020-03-25","OID-363080","Free Replaced"
"CL-591","2020-03-25","OID-363290","Free Replaced"
"CL-592","2020-03-25","OID-363341","Free Replaced"
"CL-595","2020-03-26","OID-363004","Free Replaced"
"CL-596","2020-03-26","OID-363211","Free Replaced"
"CL-600","2020-03-27","OID-363039","Free Replaced"
"CL-601","2020-03-27","OID-363053","Free Replaced"
"CL-602","2020-03-27","OID-363069","Free Replaced"
"CL-603","2020-03-27","OID-363168","Free Replaced"
"CL-607","2020-03-28","OID-362990","Free Replaced"
"CL-608","2020-03-28","OID-363170","Free Replaced"
"CL-609","2020-03-28","OID-363173","Free Replaced"
"CL-614","2020-03-29","OID-363148","Free Replaced"
"CL-615","2020-03-29","OID-363280","Free Replaced"
"CL-619","2020-03-30","OID-363067","Free Replaced"
"CL-620","2020-03-30","OID-363266","Free Replaced"
"CL-621","2020-03-30","OID-363302","Free Replaced"
"CL-622","2020-11-01","OID-398172","Paid Repaired"
"CL-625","2020-04-11","OID-423560","Warranty Void"
"CL-627","2020-03-31","OID-362949","Free Replaced"
"CL-628","2020-03-31","OID-363005","Free Replaced"
"CL-629","2020-03-31","OID-363179","Free Replaced"
"CL-630","2020-03-31","OID-363387","Free Replaced"
"CL-631","2020-03-31","OID-363394","Free Replaced"
"CL-633","2020-04-01","OID-363034","Free Replaced"
"CL-634","2020-04-01","OID-363350","Free Replaced"
"CL-640","2020-04-02","OID-363052","Free Replaced"
"CL-641","2020-04-02","OID-363085","Free Replaced"
"CL-642","2020-04-02","OID-363293","Free Replaced"
"CL-646","2020-06-09","OID-449190","Warranty Void"
"CL-647","2020-10-20","OID-410870","Paid Repaired"
"CL-652","2020-04-04","OID-362947","Free Replaced"
"CL-653","2020-04-04","OID-363078","Free Replaced"
"CL-654","2020-04-04","OID-363174","Free Replaced"
"CL-655","2020-04-04","OID-363258","Free Replaced"
"CL-656","2020-04-04","OID-363383","Free Replaced"
"CL-660","2020-04-05","OID-362978","Free Replaced"
"CL-661","2020-04-05","OID-363081","Free Replaced"
"CL-662","2020-04-05","OID-363166","Free Replaced"
"CL-663","2020-04-05","OID-363333","Free Replaced"
"CL-665","2020-06-26","OID-410957","Warranty Void"
"CL-670","2020-04-06","OID-362960","Free Replaced"
"CL-675","2020-05-21","OID-423601","Warranty Void"
"CL-676","2020-04-08","OID-363172","Free Replaced"
"CL-677","2020-04-08","OID-363203","Free Replaced"
"CL-678","2020-04-08","OID-363268","Free Replaced"
"CL-679","2020-04-08","OID-363337","Free Replaced"
"CL-680","2020-04-09","OID-362943","Free Replaced"
"CL-681","2020-04-09","OID-362948","Free Replaced"
"CL-682","2020-04-09","OID-363064","Free Replaced"
"CL-683","2020-04-09","OID-363099","Free Replaced"
"CL-684","2020-04-09","OID-363175","Free Replaced"
"CL-685","2020-04-09","OID-363352","Free Replaced"
"CL-686","2020-04-09","OID-363391","Free Replaced"
"CL-693","2020-04-10","OID-363059","Free Replaced"
"CL-694","2020-04-10","OID-363239","Free Replaced"
"CL-700","2020-04-11","OID-363020","Free Replaced"
"CL-701","2020-04-11","OID-363074","Free Replaced"
"CL-702","2020-04-11","OID-363281","Free Replaced"
"CL-703","2020-04-11","OID-363299","Free Replaced"
"CL-704","2020-04-11","OID-363351","Free Replaced"
"CL-705","2020-04-11","OID-363385","Free Replaced"
"CL-708","2020-04-12","OID-362953","Free Replaced"
"CL-709","2020-04-12","OID-363035","Free Replaced"
"CL-710","2020-04-12","OID-363128","Free Replaced"
"CL-711","2020-04-12","OID-363132","Free Replaced"
"CL-716","2020-04-13","OID-362935","Free Replaced"
"CL-717","2020-04-13","OID-363102","Free Replaced"
"CL-718","2020-04-13","OID-363267","Free Replaced"
"CL-724","2020-04-14","OID-362896","Free Replaced"
"CL-727","2020-04-15","OID-362860","Free Replaced"
"CL-728","2020-04-15","OID-362872","Free Replaced"
"CL-729","2020-10-24","OID-398082","Paid Repaired"
"CL-732","2020-06-18","OID-423473","Warranty Void"
"CL-736","2020-04-16","OID-363014","Free Replaced"
"CL-737","2020-04-16","OID-363400","Free Replaced"
"CL-739","2020-04-17","OID-362913","Free Replaced"
"CL-740","2020-04-17","OID-363077","Free Replaced"
"CL-741","2020-04-17","OID-363318","Free Replaced"
"CL-742","2020-04-17","OID-363342","Free Replaced"
"CL-744","2020-08-17","OID-410837","Warranty Void"
"CL-749","2020-05-15","OID-410832","Warranty Void"
"CL-753","2020-04-19","OID-362898","Free Replaced"
"CL-754","2020-04-19","OID-363190","Free Replaced"
"CL-755","2020-04-19","OID-363194","Free Replaced"
"CL-756","2020-04-19","OID-363227","Free Replaced"
"CL-757","2020-04-20","OID-363232","Free Replaced"
"CL-762","2020-04-21","OID-362831","Free Replaced"
"CL-763","2020-04-21","OID-362865","Free Replaced"
"CL-764","2020-04-21","OID-362900","Free Replaced"
"CL-765","2020-04-21","OID-362966","Free Replaced"
"CL-766","2020-04-21","OID-363043","Free Replaced"
"CL-767","2020-04-21","OID-363063","Free Replaced"
"CL-768","2020-04-21","OID-363210","Free Replaced"
"CL-769","2020-04-21","OID-363399","Free Replaced"
"CL-770","2020-10-31","OID-436341","Paid Repaired"
"CL-777","2020-04-22","OID-362855","Free Replaced"
"CL-778","2020-04-22","OID-362915","Free Replaced"
"CL-779","2020-04-22","OID-363090","Free Replaced"
"CL-780","2020-04-22","OID-363146","Free Replaced"
"CL-781","2020-04-22","OID-363254","Free Replaced"
"CL-782","2020-04-22","OID-363295","Free Replaced"
"CL-783","2020-04-22","OID-363374","Free Replaced"
"CL-787","2020-04-23","OID-363157","Free Replaced"
"CL-788","2020-04-23","OID-363384","Free Replaced"
"CL-791","2020-07-30","OID-423504","Warranty Void"
"CL-794","2020-04-24","OID-362926","Free Replaced"
"CL-795","2020-04-24","OID-363153","Free Replaced"
"CL-796","2020-04-24","OID-363283","Free Replaced"
"CL-797","2020-11-21","OID-398182","Paid Repaired"
"CL-802","2020-08-09","OID-449078","Warranty Void"
"CL-804","2020-04-25","OID-362870","Free Replaced"
"CL-805","2020-04-25","OID-363003","Free Replaced"
"CL-806","2020-04-25","OID-363105","Free Replaced"
"CL-807","2020-04-25","OID-363242","Free Replaced"
"CL-810","2020-07-06","OID-436460","Warranty Void"
"CL-812","2020-04-26","OID-362878","Free Replaced"
"CL-813","2020-04-26","OID-362981","Free Replaced"
"CL-814","2020-04-26","OID-363165","Free Replaced"
"CL-815","2020-04-26","OID-363214","Free Replaced"
"CL-816","2020-04-26","OID-363282","Free Replaced"
"CL-817","2020-04-26","OID-363366","Free Replaced"
"CL-819","2020-12-05","OID-423595","Paid Repaired"
"CL-820","2020-10-05","OID-436387","Paid Repaired"
"CL-823","2020-04-27","OID-363070","Free Replaced"
"CL-824","2020-04-27","OID-363167","Free Replaced"
"CL-825","2020-04-27","OID-363187","Free Replaced"
"CL-826","2020-04-27","OID-363248","Free Replaced"
"CL-827","2020-04-27","OID-363279","Free Replaced"
"CL-828","2020-05-05","OID-410857","Warranty Void"
"CL-829","2020-04-08","OID-410942","Warranty Void"
"CL-834","2020-04-28","OID-362827","Free Replaced"
"CL-835","2020-04-28","OID-363191","Free Replaced"
"CL-836","2020-04-28","OID-363226","Free Replaced"
"CL-837","2020-04-28","OID-363322","Free Replaced"
"CL-838","2020-04-28","OID-363372","Free Replaced"
"CL-840","2020-06-01","OID-449031","Warranty Void"
"CL-841","2020-04-29","OID-362876","Free Replaced"
"CL-842","2020-04-29","OID-363031","Free Replaced"
"CL-843","2020-04-29","OID-363329","Free Replaced"
"CL-844","2020-04-29","OID-363338","Free Replaced"
"CL-845","2020-04-29","OID-363369","Free Replaced"
"CL-846","2020-12-27","OID-423494","Paid Repaired"
"CL-848","2020-09-30","OID-449181","Paid Repaired"
"CL-850","2020-04-30","OID-362955","Free Replaced"
"CL-851","2020-04-30","OID-362989","Free Replaced"
"CL-852","2020-04-30","OID-362999","Free Replaced"
"CL-853","2020-04-30","OID-363098","Free Replaced"
"CL-854","2020-04-30","OID-363142","Free Replaced"
"CL-855","2020-04-30","OID-363198","Free Replaced"
"CL-856","2020-04-30","OID-363320","Free Replaced"
"CL-857","2020-05-01","OID-363007","Free Replaced"
"CL-858","2020-05-01","OID-363139","Free Replaced"
"CL-859","2020-05-01","OID-363231","Free Replaced"
"CL-860","2020-05-01","OID-363303","Free Replaced"
"CL-862","2020-06-02","OID-410847","Warranty Void"
"CL-863","2020-05-02","OID-362892","Free Replaced"
"CL-864","2020-05-02","OID-363075","Free Replaced"
"CL-865","2020-05-02","OID-363321","Free Replaced"
"CL-868","2020-05-03","OID-362921","Free Replaced"
"CL-869","2020-05-03","OID-363181","Free Replaced"
"CL-870","2020-05-03","OID-363186","Free Replaced"
"CL-871","2020-05-03","OID-363223","Free Replaced"
"CL-872","2020-05-03","OID-363390","Free Replaced"
"CL-876","2020-05-18","OID-436363","Warranty Void"
"CL-878","2020-05-04","OID-362861","Free Replaced"
"CL-879","2020-05-04","OID-362973","Free Replaced"
"CL-880","2020-05-04","OID-363068","Free Replaced"
"CL-881","2020-05-04","OID-363193","Free Replaced"
"CL-882","2020-05-10","OID-398066","Warranty Void"
"CL-886","2020-05-05","OID-362755","Free Replaced"
"CL-887","2020-05-05","OID-362847","Free Replaced"
"CL-888","2020-05-05","OID-362867","Free Replaced"
"CL-889","2020-05-05","OID-362887","Free Replaced"
"CL-890","2020-05-05","OID-363028","Free Replaced"
"CL-891","2020-05-05","OID-363216","Free Replaced"
"CL-892","2020-05-05","OID-363246","Free Replaced"
"CL-895","2020-05-06","OID-362787","Free Replaced"
"CL-896","2020-05-06","OID-363094","Free Replaced"
"CL-897","2020-05-06","OID-363164","Free Replaced"
"CL-898","2020-05-06","OID-363402","Free Replaced"
"CL-901","2020-05-07","OID-363041","Free Replaced"
"CL-902","2020-11-19","OID-398139","Paid Repaired"
"CL-904","2020-05-08","OID-363019","Free Replaced"
"CL-905","2020-05-08","OID-363160","Free Replaced"
"CL-906","2020-05-08","OID-363330","Free Replaced"
"CL-912","2020-05-09","OID-362710","Free Replaced"
"CL-913","2020-05-09","OID-363184","Free Replaced"
"CL-914","2020-05-09","OID-363335","Free Replaced"
"CL-915","2020-05-09","OID-363376","Free Replaced"
"CL-916","2020-12-05","OID-398054","Paid Repaired"
"CL-917","2020-12-14","OID-410906","Paid Repaired"
"CL-924","2020-04-24","OID-436423","Warranty Void"
"CL-926","2020-05-11","OID-362839","Free Replaced"
"CL-927","2020-05-11","OID-363038","Free Replaced"
"CL-928","2020-05-11","OID-363057","Free Replaced"
"CL-929","2020-05-11","OID-363114","Free Replaced"
"CL-930","2020-05-11","OID-363253","Free Replaced"
"CL-931","2020-05-11","OID-363377","Free Replaced"
"CL-932","2020-08-03","OID-397999","Warranty Void"
"CL-937","2020-05-12","OID-362759","Free Replaced"
"CL-938","2020-05-12","OID-363015","Free Replaced"
"CL-939","2020-05-12","OID-363079","Free Replaced"
"CL-940","2020-05-12","OID-363125","Free Replaced"
"CL-941","2020-05-12","OID-363141","Free Replaced"
"CL-942","2020-05-12","OID-363288","Free Replaced"
"CL-946","2020-07-12","OID-436281","Warranty Void"
"CL-947","2020-10-19","OID-436298","Warranty Void"
"CL-948","2020-06-03","OID-436358","Warranty Void"
"CL-949","2020-12-30","OID-448931","Paid Repaired"
"CL-950","2020-05-13","OID-362901","Free Replaced"
"CL-951","2020-05-13","OID-363029","Free Replaced"
"CL-952","2020-05-13","OID-363147","Free Replaced"
"CL-953","2020-05-13","OID-363180","Free Replaced"
"CL-955","2020-05-14","OID-362723","Free Replaced"
"CL-956","2020-05-14","OID-362728","Free Replaced"
"CL-957","2020-05-14","OID-362766","Free Replaced"
"CL-958","2020-05-14","OID-362869","Free Replaced"
"CL-961","2020-07-30","OID-436390","Warranty Void"
"CL-963","2020-05-15","OID-362884","Free Replaced"
"CL-964","2020-05-15","OID-362969","Free Replaced"
"CL-965","2020-05-15","OID-363388","Free Replaced"
"CL-968","2020-10-29","OID-449109","Paid Repaired"
"CL-969","2020-05-16","OID-362734","Free Replaced"
"CL-970","2020-05-16","OID-362891","Free Replaced"
"CL-971","2020-05-16","OID-362895","Free Replaced"
"CL-972","2020-05-16","OID-363065","Free Replaced"
"CL-973","2020-05-16","OID-363192","Free Replaced"
"CL-974","2020-06-07","OID-410917","Warranty Void"
"CL-979","2020-05-17","OID-362675","Free Replaced"
"CL-980","2020-05-17","OID-362730","Free Replaced"
"CL-981","2020-05-17","OID-362919","Free Replaced"
"CL-985","2020-05-18","OID-362789","Free Replaced"
"CL-996","2020-05-19","OID-362813","Free Replaced"
"CL-997","2020-05-19","OID-362832","Free Replaced"
"CL-998","2020-05-19","OID-362886","Free Replaced"
"CL-999","2020-05-19","OID-363033","Free Replaced"
"CL-1001","2020-12-30","OID-410716","Paid Repaired"
"CL-1003","2020-12-16","OID-423415","Paid Repaired"
"CL-1004","2020-11-25","OID-423475","Paid Repaired"
"CL-1005","2020-07-01","OID-436398","Warranty Void"
"CL-1006","2020-12-06","OID-448954","Paid Repaired"
"CL-1007","2020-11-17","OID-449110","Paid Repaired"
"CL-1009","2020-05-20","OID-362791","Free Replaced"
"CL-1010","2020-05-20","OID-362797","Free Replaced"
"CL-1011","2020-05-20","OID-363339","Free Replaced"
"CL-1012","2020-05-20","OID-363368","Free Replaced"
"CL-1013","2020-06-19","OID-398030","Warranty Void"
"CL-1014","2020-08-16","OID-398109","Warranty Void"
"CL-1017","2020-05-21","OID-363257","Free Replaced"
"CL-1021","2020-05-22","OID-363055","Free Replaced"
"CL-1022","2020-05-22","OID-363112","Free Replaced"
"CL-1023","2020-05-22","OID-363365","Free Replaced"
"CL-1028","2020-09-13","OID-449162","Warranty Void"
"CL-1029","2020-05-23","OID-362683","Free Replaced"
"CL-1030","2020-05-23","OID-362843","Free Replaced"
"CL-1031","2020-05-23","OID-362942","Free Replaced"
"CL-1032","2020-05-23","OID-362963","Free Replaced"
"CL-1033","2020-05-23","OID-363088","Free Replaced"
"CL-1034","2020-05-23","OID-363326","Free Replaced"
"CL-1036","2020-06-16","OID-423357","Warranty Void"
"CL-1038","2020-05-08","OID-436385","Warranty Void"
"CL-1040","2020-12-26","OID-448932","Paid Repaired"
"CL-1041","2020-05-24","OID-362731","Free Replaced"
"CL-1042","2020-05-24","OID-362802","Free Replaced"
"CL-1043","2020-05-24","OID-362964","Free Replaced"
"CL-1044","2020-05-24","OID-362977","Free Replaced"
"CL-1045","2020-05-24","OID-362997","Free Replaced"
"CL-1046","2020-05-24","OID-363163","Free Replaced"
"CL-1047","2020-05-24","OID-363241","Free Replaced"
"CL-1048","2020-05-24","OID-363354","Free Replaced"
"CL-1051","2020-05-25","OID-363054","Free Replaced"
"CL-1052","2020-05-25","OID-363358","Free Replaced"
"CL-1053","2020-08-18","OID-398046","Warranty Void"
"CL-1054","2020-10-30","OID-410953","Paid Repaired"
"CL-1061","2020-05-26","OID-362817","Free Replaced"
"CL-1062","2020-05-26","OID-362828","Free Replaced"
"CL-1063","2020-05-26","OID-362846","Free Replaced"
"CL-1064","2020-05-26","OID-363144","Free Replaced"
"CL-1065","2020-05-26","OID-363364","Free Replaced"
"CL-1067","2020-05-19","OID-410890","Warranty Void"
"CL-1068","2020-05-27","OID-362687","Free Replaced"
"CL-1069","2020-05-27","OID-363136","Free Replaced"
"CL-1070","2020-05-27","OID-363228","Free Replaced"
"CL-1072","2020-05-28","OID-362611","Free Replaced"
"CL-1073","2020-05-28","OID-362979","Free Replaced"
"CL-1074","2020-05-28","OID-363032","Free Replaced"
"CL-1075","2020-05-28","OID-363197","Free Replaced"
"CL-1077","2020-11-28","OID-410696","Paid Repaired"
"CL-1078","2020-05-21","OID-423550","Warranty Void"
"CL-1079","2020-07-13","OID-436370","Warranty Void"
"CL-1081","2020-10-10","OID-449180","Paid Repaired"
"CL-1082","2020-11-09","OID-398063","Paid Repaired"
"CL-1087","2020-05-30","OID-362640","Free Replaced"
"CL-1088","2020-05-30","OID-362654","Free Replaced"
"CL-1089","2020-05-30","OID-362909","Free Replaced"
"CL-1090","2020-05-30","OID-362924","Free Replaced"
"CL-1091","2020-11-12","OID-410740","Paid Repaired"
"CL-1092","2020-11-10","OID-410772","Paid Repaired"
"CL-1094","2020-05-31","OID-362580","Free Replaced"
"CL-1095","2020-05-31","OID-362605","Free Replaced"
"CL-1096","2020-05-31","OID-362914","Free Replaced"
"CL-1097","2020-05-31","OID-362996","Free Replaced"
"CL-1098","2020-05-31","OID-363116","Free Replaced"
"CL-1102","2020-06-01","OID-362720","Free Replaced"
"CL-1103","2020-06-01","OID-363263","Free Replaced"
"CL-1104","2020-12-05","OID-410626","Paid Repaired"
"CL-1105","2020-11-09","OID-410631","Warranty Void"
"CL-1106","2021-01-16","OID-410660","Paid Repaired"
"CL-1109","2020-06-02","OID-363328","Free Replaced"
"CL-1110","2020-06-03","OID-363100","Free Replaced"
"CL-1111","2020-06-03","OID-363134","Free Replaced"
"CL-1112","2020-06-03","OID-363380","Free Replaced"
"CL-1113","2020-07-07","OID-410676","Warranty Void"
"CL-1117","2020-08-18","OID-449087","Warranty Void"
"CL-1118","2020-06-04","OID-362564","Free Replaced"
"CL-1119","2020-06-04","OID-363008","Free Replaced"
"CL-1120","2020-06-04","OID-363145","Free Replaced"
"CL-1121","2020-06-04","OID-363230","Free Replaced"
"CL-1122","2020-06-04","OID-363336","Free Replaced"
"CL-1125","2020-06-28","OID-423272","Warranty Void"
"CL-1126","2020-07-16","OID-423602","Warranty Void"
"CL-1129","2020-07-29","OID-448844","Warranty Void"
"CL-1130","2020-06-05","OID-362578","Free Replaced"
"CL-1131","2020-06-05","OID-362617","Free Replaced"
"CL-1132","2020-06-05","OID-362681","Free Replaced"
"CL-1133","2020-06-05","OID-362682","Free Replaced"
"CL-1134","2020-06-05","OID-362715","Free Replaced"
"CL-1135","2020-06-05","OID-362812","Free Replaced"
"CL-1136","2020-06-05","OID-362893","Free Replaced"
"CL-1137","2020-06-05","OID-363000","Free Replaced"
"CL-1138","2020-06-05","OID-363016","Free Replaced"
"CL-1139","2020-06-05","OID-363044","Free Replaced"
"CL-1140","2020-06-05","OID-363218","Free Replaced"
"CL-1141","2020-06-05","OID-363275","Free Replaced"
"CL-1142","2020-06-05","OID-363315","Free Replaced"
"CL-1143","2020-06-05","OID-363349","Free Replaced"
"CL-1146","2020-06-06","OID-362574","Free Replaced"
"CL-1147","2020-06-06","OID-362700","Free Replaced"
"CL-1148","2020-06-06","OID-362905","Free Replaced"
"CL-1149","2020-06-06","OID-362941","Free Replaced"
"CL-1150","2020-06-06","OID-362982","Free Replaced"
"CL-1151","2020-06-06","OID-363049","Free Replaced"
"CL-1152","2020-06-06","OID-363150","Free Replaced"
"CL-1153","2020-06-06","OID-363271","Free Replaced"
"CL-1154","2020-10-27","OID-398043","Paid Repaired"
"CL-1155","2020-09-30","OID-436280","Warranty Void"
"CL-1156","2020-06-07","OID-362764","Free Replaced"
"CL-1157","2020-06-07","OID-362782","Free Replaced"
"CL-1158","2020-06-07","OID-362879","Free Replaced"
"CL-1159","2020-06-07","OID-363001","Free Replaced"
"CL-1160","2020-06-07","OID-363206","Free Replaced"
"CL-1162","2020-08-29","OID-410714","Warranty Void"
"CL-1163","2020-05-29","OID-423363","Warranty Void"
"CL-1165","2020-12-02","OID-449066","Paid Repaired"
"CL-1166","2020-06-08","OID-362674","Free Replaced"
"CL-1167","2020-06-08","OID-363135","Free Replaced"
"CL-1168","2020-06-08","OID-363200","Free Replaced"
"CL-1169","2020-07-11","OID-410679","Warranty Void"
"CL-1171","2020-06-09","OID-363071","Free Replaced"
"CL-1172","2020-06-09","OID-363176","Free Replaced"
"CL-1173","2020-06-09","OID-363373","Free Replaced"
"CL-1174","2020-07-15","OID-410915","Warranty Void"
"CL-1177","2020-11-23","OID-448881","Warranty Void"
"CL-1178","2020-06-10","OID-362667","Free Replaced"
"CL-1179","2020-06-10","OID-362781","Free Replaced"
"CL-1180","2020-06-10","OID-362937","Free Replaced"
"CL-1181","2020-06-10","OID-363030","Free Replaced"
"CL-1182","2020-06-10","OID-363103","Free Replaced"
"CL-1183","2020-06-10","OID-363237","Free Replaced"
"CL-1184","2020-06-10","OID-363260","Free Replaced"
"CL-1185","2020-12-17","OID-397907","Paid Repaired"
"CL-1186","2020-12-02","OID-410892","Paid Repaired"
"CL-1191","2020-06-12","OID-448917","Warranty Void"
"CL-1192","2020-06-11","OID-362830","Free Replaced"
"CL-1193","2020-06-11","OID-362842","Free Replaced"
"CL-1194","2020-06-11","OID-363058","Free Replaced"
"CL-1195","2020-06-11","OID-363060","Free Replaced"
"CL-1196","2020-10-25","OID-397990","Paid Repaired"
"CL-1198","2020-11-19","OID-423552","Paid Repaired"
"CL-1203","2020-06-12","OID-362524","Free Replaced"
"CL-1204","2020-06-12","OID-362881","Free Replaced"
"CL-1205","2020-06-12","OID-363360","Free Replaced"
"CL-1206","2020-10-10","OID-397966","Warranty Void"
"CL-1207","2020-11-20","OID-423574","Paid Repaired"
"CL-1209","2020-06-13","OID-362986","Free Replaced"
"CL-1210","2020-07-08","OID-410831","Warranty Void"
"CL-1211","2020-12-19","OID-436181","Paid Repaired"
"CL-1213","2020-06-14","OID-362853","Free Replaced"
"CL-1214","2020-06-14","OID-362931","Free Replaced"
"CL-1215","2020-06-14","OID-362934","Free Replaced"
"CL-1216","2020-06-14","OID-362936","Free Replaced"
"CL-1217","2020-06-14","OID-362967","Free Replaced"
"CL-1218","2020-06-14","OID-363051","Free Replaced"
"CL-1223","2020-06-15","OID-362646","Free Replaced"
"CL-1224","2020-06-15","OID-362663","Free Replaced"
"CL-1225","2020-06-15","OID-362702","Free Replaced"
"CL-1226","2020-06-15","OID-362706","Free Replaced"
"CL-1227","2020-06-15","OID-363131","Free Replaced"
"CL-1228","2020-06-15","OID-363169","Free Replaced"
"CL-1229","2020-06-15","OID-363217","Free Replaced"
"CL-1230","2020-06-15","OID-363343","Free Replaced"
"CL-1232","2020-06-25","OID-423281","Warranty Void"
"CL-1233","2020-09-16","OID-448969","Warranty Void"
"CL-1234","2020-06-16","OID-362690","Free Replaced"
"CL-1235","2020-06-16","OID-362751","Free Replaced"
"CL-1236","2020-06-16","OID-362840","Free Replaced"
"CL-1237","2020-06-16","OID-362983","Free Replaced"
"CL-1238","2020-06-16","OID-363115","Free Replaced"
"CL-1240","2020-06-17","OID-362497","Free Replaced"
"CL-1241","2020-06-17","OID-362550","Free Replaced"
"CL-1242","2020-06-17","OID-362705","Free Replaced"
